party	netloc	count	count_p	count_netloc	ratio	sum_netloc	ideology
AfD	1730live	1	18878	14.0	5.297171310520182e-05	0.0016958632364407246	0.031235840229887155
AfD	20min	10	18878	140.0	0.0005297171310520183	0.0008732225501035588	0.6066232840519259
AfD	abendblatt	40	18878	6280.0	0.002118868524208073	0.015228890652151635	0.13913479140443535
AfD	abendzeitung-muenchen	8	18878	272.0	0.00042377370484161455	0.005365513735897817	0.07898101201500402
AfD	abgeordnetenwatch	5	18878	315.0	0.00026485856552600914	0.0060395791409213135	0.04385381155641352
AfD	achgut	451	18878	203401.0	0.023890242610446023	0.023890242610446023	1.0
AfD	aerzteblatt	1	18878	22.0	5.297171310520182e-05	0.0019516429021495694	0.027142113471095537
AfD	afd	472	18878	222784.0	0.02500264858565526	0.02500264858565526	1.0
AfD	afd-bw	21	18878	441.0	0.0011124059752092384	0.0011124059752092384	1.0
AfD	afd-fraktion	40	18878	1600.0	0.002118868524208073	0.002118868524208073	1.0
AfD	afd-fraktion-mv	27	18878	729.0	0.0014302362538404492	0.0014302362538404492	1.0
AfD	afd-kleve	27	18878	729.0	0.0014302362538404492	0.0014302362538404492	1.0
AfD	afd-lsa	12	18878	144.0	0.0006356605572624219	0.0006356605572624219	1.0
AfD	afd-muenster	42	18878	1764.0	0.0022248119504184767	0.0022248119504184767	1.0
AfD	afd-sh	19	18878	361.0	0.0010064625489988345	0.0010064625489988345	1.0
AfD	afdbayern	43	18878	1849.0	0.0022777836635236785	0.0022777836635236785	1.0
AfD	afdkompakt	54	18878	2916.0	0.0028604725076808984	0.0028604725076808984	1.0
AfD	alexander-tassis	14	18878	196.0	0.0007416039834728255	0.0007416039834728255	1.0
AfD	allgemeine-zeitung	22	18878	1804.0	0.0011653776883144402	0.005732776915207254	0.20328327886317357
AfD	alternative-mitte	15	18878	225.0	0.0007945756965780273	0.0007945756965780273	1.0
AfD	amnesty	2	18878	78.0	0.00010594342621040364	0.0046839079699449076	0.022618596883245287
AfD	anonymousnews	54	18878	2916.0	0.0028604725076808984	0.0028604725076808984	1.0
AfD	ardmediathek	8	18878	576.0	0.00042377370484161455	0.00618303867456782	0.0685380970662027
AfD	augsburger-allgemeine	19	18878	1083.0	0.0010064625489988345	0.00959244365680274	0.10492243530511378
AfD	badische-zeitung	12	18878	672.0	0.0006356605572624219	0.005727133475585677	0.1109910498807463
AfD	bayern	18	18878	324.0	0.0009534908358936328	0.0009534908358936328	1.0
AfD	bayernkurier	4	18878	124.0	0.00021188685242080728	0.01989947797198847	0.010647859844317027
AfD	bazonline	68	18878	4896.0	0.003602076491153724	0.003982949883395431	0.9043740435124392
AfD	bbc	10	18878	230.0	0.0005297171310520183	0.001921055384758185	0.2757427689252681
AfD	bento	2	18878	90.0	0.00010594342621040364	0.005202615082910247	0.02036349499666249
AfD	berlin	13	18878	1261.0	0.0006886322703676237	0.008379628674462774	0.08217933003001145
AfD	berliner-kurier	6	18878	138.0	0.00031783027863121094	0.0019876777165768415	0.1599003077715109
AfD	berliner-zeitung	35	18878	10430.0	0.0018540099586820639	0.025331764106533323	0.07318913719885366
AfD	berlinjournal	13	18878	169.0	0.0006886322703676237	0.0006886322703676237	1.0
AfD	bild	229	18878	138545.0	0.012130522301091217	0.0666380811740142	0.18203588829958037
AfD	bloomberg	2	18878	26.0	0.00010594342621040364	0.0010802794317958855	0.09807039094901626
AfD	bnn	2	18878	32.0	0.00010594342621040364	0.0019330222331104972	0.05480714313354077
AfD	boeckler	1	18878	20.0	5.297171310520182e-05	0.001741060531870664	0.030424969227397812
AfD	bpb	5	18878	170.0	0.00026485856552600914	0.0035024549444493155	0.07562083445092035
AfD	br	16	18878	2304.0	0.0008475474096832291	0.01980469081259051	0.04279528611193539
AfD	brandner-im-landtag	57	18878	3249.0	0.003019387646996504	0.003019387646996504	1.0
AfD	breitbart	39	18878	1521.0	0.002065896811102871	0.002065896811102871	1.0
AfD	bund	1	18878	19.0	5.297171310520182e-05	0.0014560656184902294	0.03638003152641384
AfD	bundestag	2	18878	218.0	0.00010594342621040364	0.010029527606032214	0.010563152161492078
AfD	bundeswahlleiter	11	18878	429.0	0.0005826888441572201	0.0031779555641653894	0.18335336425959398
AfD	butenunbinnen	2	18878	30.0	0.00010594342621040364	0.00159403116115645	0.06646258165589623
AfD	buzzfeed	2	18878	60.0	0.00010594342621040364	0.0027082210808889815	0.03911919413005507
AfD	bz-berlin	44	18878	4708.0	0.0023307553766288803	0.008420050084230147	0.27681015591512165
AfD	campact	1	18878	19.0	5.297171310520182e-05	0.0015988632294442614	0.03313085955677016
AfD	carsten-huetter	16	18878	256.0	0.0008475474096832291	0.0008475474096832291	1.0
